거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
107,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	1	108.07	9	11110	4	201809
115,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	4	126.34	9	11110	3	201809
130,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	5	159.01	9	11110	3	201809
104,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	5	94.51	9	11110	5	201809
119,900	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	7	131.44	9	11110	11	201809
131,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	9	8	159.01	9	11110	5	201809
72,000	1981	2018	당주동	롯데미도파광화문빌딩	9	15	149.92	145	11110	8	201809
147,500	2003	2018	내수동	경희궁 파크팰리스	9	1	147.62	95	11110	9	201809
140,000	2004	2018	내수동	경희궁의아침3단지	9	8	150.48	72	11110	3	201809
76,000	1994	2018	내수동	세종로대우	9	17	109.91	167	11110	10	201809
57,000	1994	2018	내수동	세종로대우	9	19	66.96	167	11110	15	201809
79,500	2006	2018	인의동	효성쥬얼리시티	9	17	98.39	48-2	11110	8	201809
16,000	2011	2018	충신동	CS타워	9	15	22.17	62-2	11110	8	201809
49,000	2003	2018	명륜1가	송림아마레스아파트	9	5	75.62	2-12	11110	5	201809
44,800	2003	2018	명륜1가	리치캐슬아파트	9	7	84.33	33-85	11110	2	201809
78,000	1995	2018	명륜2가	아남1	9	13	84.9	4	11110	11	201809
71,500	1995	2018	명륜2가	아남1	9	15	84.9	4	11110	6	201809
56,000	1999	2018	창신동	두산	9	2	59.95	232	11110	4	201809
49,500	1993	2018	창신동	창신쌍용2	9	2	79.87	703	11110	14	201809
50,000	1993	2018	창신동	창신쌍용2	9	2	79.87	703	11110	7	201809
55,700	1999	2018	창신동	두산	9	6	59.95	232	11110	15	201809
50,000	1973	2018	창신동	동대문맨션	9	6	158.18	578-5	11110	7	201809
43,700	1993	2018	창신동	창신쌍용2	9	11	64.66	703	11110	2	201809
24,000	2002	2018	창신동	MID그린(5동)	9	11	59.04	601-4	11110	1	201809
48,000	1993	2018	창신동	창신쌍용2	9	12	79.87	703	11110	2	201809
46,000	1993	2018	창신동	창신쌍용2	9	12	64.66	703	11110	13	201809
25,000	1999	2018	창신동	덕산	9	19	59.22	639-50	11110	6	201809
62,900	1993	2018	창신동	창신쌍용2	9	21	115.53	703	11110	7	201809
17,200	1996	2018	창신동	삼흥	9	28	57.78	638-45	11110	1	201809
27,700	2002	2018	창신동	MID그린(5동)	9	29	59.04	601-4	11110	5	201809
12,950	2012	2018	숭인동	삼전솔하임2차	9	3	16.67	296-19	11110	6	201809
33,500	2014	2018	숭인동	할리우드파크아파트	9	6	68.77	56-135	11110	3	201809
13,300	2013	2018	숭인동	종로중흥S클래스	9	7	19.466	202-3	11110	7	201809
31,300	2000	2018	숭인동	동문타운	9	10	59.56	181-105	11110	-1	201809
80,000	2008	2018	숭인동	종로센트레빌	9	12	84.92	2-1	11110	8	201809
