거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
140,000	2008	2018	사직동	광화문풍림스페이스본(106동)	11	30	153.42	9-1	11110	7	201811
42,000	1981	2018	당주동	롯데미도파광화문빌딩	11	11	65.82	145	11110	7	201811
130,000	2004	2018	내수동	킹스매너	11	21	194.43	110-15	11110	2	201811
76,500	1994	2018	내수동	세종로대우	11	29	100.44	167	11110	14	201811
76,000	2006	2018	인의동	효성쥬얼리시티	11	6	92.81	48-2	11110	16	201811
68,000	2006	2018	인의동	효성쥬얼리시티	11	7	84.64	48-2	11110	13	201811
35,000	2017	2018	효제동	포레스트힐시티	11	24	35.8451	65-2	11110	13	201811
24,400	1999	2018	동숭동	동성아파트(1동)	11	21	49.56	4-161	11110	4	201811
68,000	2006	2018	명륜1가	건양하늘터	11	9	84.9	23	11110	6	201811
38,300	2003	2018	명륜1가	송림아마레스아파트	11	10	53.42	2-12	11110	6	201811
47,800	1999	2018	명륜2가	아남3	11	3	44.37	237	11110	8	201811
84,700	1995	2018	명륜2가	아남1	11	26	84.9	4	11110	3	201811
38,000	1973	2018	창신동	동대문맨션	11	1	122.71	578-5	11110	5	201811
59,800	1999	2018	창신동	두산	11	14	59.95	232	11110	5	201811
70,000	1999	2018	창신동	두산	11	14	84.9	232	11110	13	201811
41,000	1993	2018	창신동	창신쌍용2	11	16	54.7	703	11110	11	201811
12,400	2012	2018	숭인동	삼전솔하임2차	11	9	16.67	296-19	11110	9	201811
12,800	2013	2018	숭인동	종로동광모닝스카이	11	27	15.855	1421-1	11110	14	201811
130,000	2017	2018	홍파동	경희궁자이(2단지)	11	12	59.855	199	11110	12	201811
150,000	2017	2018	홍파동	경희궁자이(2단지)	11	22	84.836	199	11110	5	201811
8,450	1971	2018	행촌동	대성맨션	11	1	19.27	41-1	11110	1	201811
79,000	2003	2018	평창동	크래스빌	11	12	187.9	46-1	11110	3	201811
104,519	2009	2018	평창동	엘리시아	11	13	213.07	66-1	11110	4	201811
104,519	2009	2018	평창동	엘리시아	11	16	213.07	66-1	11110	4	201811
65,000	2001	2018	평창동	롯데낙천대	11	16	87.27	72	11110	9	201811
124,000	2004	2018	평창동	벽산블루밍평창힐스	11	25	207.28	45	11110	3	201811
50,500	1998	2018	평창동	삼성	11	27	84.93	596	11110	13	201811
39,500	1998	2018	평창동	삼성	11	30	59.97	596	11110	10	201811
96,490	2000	2018	무악동	현대	11	16	114.9	82	11110	12	201811
