거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
66,500	2007	2018	필운동	두레엘리시안	5	18	84.74	174-1	11110	6	201805
118,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	5	3	131.44	9	11110	6	201805
120,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	5	4	151.81	9	11110	7	201805
94,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	5	12	94.51	9	11110	12	201805
66,900	1983	2018	당주동	세종	5	17	104.73	100	11110	4	201805
99,000	2008	2018	견지동	대성스카이렉스	5	23	149.8	110	11110	11	201805
32,700	1998	2018	익선동	운현신화타워	5	1	57.18	30-6	11110	7	201805
44,000	2003	2018	익선동	현대뜨레비앙	5	2	58.78	55	11110	3	201805
104,000	2006	2018	인의동	효성쥬얼리시티	5	15	141.04	48-2	11110	19	201805
57,000	2006	2018	인의동	효성쥬얼리시티	5	29	84.98	48-2	11110	17	201805
64,000	2006	2018	인의동	효성쥬얼리시티	5	29	92.81	48-2	11110	14	201805
71,500	2006	2018	인의동	효성쥬얼리시티	5	30	106.81	48-2	11110	10	201805
64,800	2006	2018	인의동	효성쥬얼리시티	5	31	92.81	48-2	11110	16	201805
79,000	2006	2018	인의동	효성쥬얼리시티	5	31	106.81	48-2	11110	15	201805
72,000	2006	2018	인의동	효성쥬얼리시티	5	31	103.62	48-2	11110	7	201805
19,000	2014	2018	연건동	이화에수풀	5	1	16.98	195-10	11110	11	201805
21,000	2014	2018	연건동	이화에수풀	5	3	19.86	195-10	11110	7	201805
50,000	2006	2018	명륜1가	건양하늘터	5	28	82.63	23	11110	2	201805
54,800	2003	2018	창신동	창신이수	5	1	84.5	23-816	11110	5	201805
44,500	1993	2018	창신동	창신쌍용2	5	2	79.87	703	11110	3	201805
39,500	1992	2018	창신동	창신쌍용1	5	3	54.7	702	11110	7	201805
38,800	1993	2018	창신동	창신쌍용2	5	7	64.66	703	11110	3	201805
53,000	1993	2018	창신동	창신쌍용2	5	9	115.53	703	11110	8	201805
51,300	1999	2018	창신동	두산	5	11	59.95	232	11110	8	201805
54,450	1993	2018	창신동	창신쌍용2	5	11	115.53	703	11110	2	201805
38,800	1992	2018	창신동	창신쌍용1	5	11	54.7	702	11110	5	201805
44,500	1993	2018	창신동	창신쌍용2	5	13	79.87	703	11110	3	201805
39,800	1992	2018	창신동	창신쌍용1	5	15	54.7	702	11110	4	201805
34,500	1993	2018	창신동	창신쌍용2	5	22	54.7	703	11110	2	201805
53,500	1993	2018	창신동	창신쌍용2	5	24	115.53	703	11110	7	201805
40,000	1993	2018	창신동	창신쌍용2	5	26	64.66	703	11110	13	201805
37,000	1993	2018	창신동	창신쌍용2	5	28	54.7	703	11110	9	201805
38,500	1993	2018	창신동	창신쌍용2	5	28	64.66	703	11110	11	201805
54,900	1993	2018	창신동	창신쌍용2	5	28	115.53	703	11110	11	201805
53,000	2003	2018	창신동	창신이수	5	31	120.84	23-816	11110	6	201805
54,700	1992	2018	창신동	창신쌍용1	5	31	106.62	702	11110	4	201805
56,000	2008	2018	숭인동	종로센트레빌	5	7	59.92	2-1	11110	4	201805
57,000	2008	2018	숭인동	종로센트레빌	5	8	59.92	2-1	11110	5	201805
26,000	2000	2018	숭인동	숭인동 103동 (569-4)	5	11	59.74	569-4	11110	4	201805
67,000	2009	2018	숭인동	종로청계힐스테이트	5	18	84.9478	766	11110	7	201805
14,000	2014	2018	숭인동	삼전솔하임4차	5	21	15.09	318-2	11110	17	201805
65,500	2008	2018	숭인동	종로센트레빌	5	22	84.92	2-1	11110	10	201805
36,000	1979	2018	숭인동	숭인상가	5	23	77.75	204-11	11110	5	201805
13,600	2013	2018	숭인동	종로중흥S클래스	5	24	17.811	202-3	11110	11	201805
58,000	2008	2018	숭인동	종로센트레빌	5	26	59.92	2-1	11110	6	201805
45,000	1998	2018	평창동	삼성	5	12	84.93	596	11110	7	201805
39,500	1998	2018	평창동	삼성	5	14	84.93	596	11110	1	201805
45,500	1998	2018	평창동	삼성	5	14	84.93	596	11110	4	201805
36,000	1998	2018	평창동	삼성	5	15	59.97	596	11110	11	201805
15,500	1997	2018	평창동	갑을	5	17	30.46	595	11110	11	201805
46,000	1998	2018	평창동	삼성	5	18	84.93	596	11110	7	201805
41,000	1996	2018	평창동	일성빌라트	5	19	59.82	145-5	11110	2	201805
105,000	2004	2018	평창동	벽산블루밍평창힐스	5	30	186.9	45	11110	1	201805
71,490	2000	2018	무악동	현대	5	1	84.92	82	11110	11	201805
98,000	2008	2018	무악동	인왕산아이파크	5	2	114.931	60	11110	9	201805
73,500	2000	2018	무악동	현대	5	5	84.92	82	11110	11	201805
87,490	2000	2018	무악동	현대	5	18	114.9	82	11110	14	201805
96,000	2008	2018	무악동	인왕산아이파크	5	28	114.931	60	11110	2	201805
