거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
119,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	7	19	126.34	9	11110	14	201807
118,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	7	23	151.81	9	11110	3	201807
55,000	1994	2018	내수동	세종로대우	7	9	66.96	167	11110	15	201807
107,500	2003	2018	내수동	경희궁 파크팰리스	7	12	117.26	95	11110	9	201807
98,000	2003	2018	내수동	경희궁 파크팰리스	7	31	103.77	95	11110	8	201807
66,000	2006	2018	인의동	효성쥬얼리시티	7	10	92.81	48-2	11110	15	201807
18,400	2017	2018	효제동	포레스트힐시티	7	25	14.1832	65-2	11110	7	201807
71,500	1995	2018	명륜2가	아남1	7	28	84.9	4	11110	6	201807
76,000	1995	2018	명륜2가	아남1	7	31	84.9	4	11110	15	201807
41,500	1992	2018	창신동	창신쌍용1	7	2	54.7	702	11110	11	201807
39,500	1993	2018	창신동	창신쌍용2	7	6	64.66	703	11110	9	201807
56,000	1992	2018	창신동	창신쌍용1	7	6	106.62	702	11110	13	201807
53,000	1999	2018	창신동	두산	7	11	59.95	232	11110	16	201807
23,800	1994	2018	창신동	창림	7	12	59.67	639-20	11110	2	201807
40,000	1992	2018	창신동	창신쌍용1	7	13	54.7	702	11110	2	201807
37,000	1993	2018	창신동	창신쌍용2	7	14	54.7	703	11110	10	201807
24,000	2002	2018	창신동	MID그린(8동)	7	14	59.94	602-1	11110	1	201807
51,500	1992	2018	창신동	창신쌍용1	7	16	79.87	702	11110	12	201807
61,900	2006	2018	창신동	브라운스톤창신	7	17	84.81	23-76	11110	5	201807
33,000	1993	2018	창신동	창신쌍용2	7	18	54.7	703	11110	3	201807
41,000	1993	2018	창신동	창신쌍용2	7	22	64.66	703	11110	6	201807
40,500	1992	2018	창신동	창신쌍용1	7	31	54.7	702	11110	4	201807
79,000	2008	2018	숭인동	종로센트레빌	7	3	114.67	2-1	11110	12	201807
13,500	2012	2018	숭인동	삼전솔하임2차	7	5	16.67	296-19	11110	10	201807
71,000	2008	2018	숭인동	종로센트레빌	7	6	84.92	2-1	11110	8	201807
13,900	2013	2018	숭인동	종로중흥S클래스	7	9	17.811	202-3	11110	16	201807
73,000	2004	2018	숭인동	롯데캐슬천지인	7	12	84.95	76	11110	25	201807
70,500	2008	2018	숭인동	종로센트레빌	7	14	84.92	2-1	11110	7	201807
72,200	2004	2018	숭인동	롯데캐슬천지인	7	18	84.95	76	11110	12	201807
62,800	2009	2018	숭인동	종로청계힐스테이트	7	20	59.9426	766	11110	8	201807
32,800	2014	2018	숭인동	할리우드파크아파트	7	20	69.94	56-135	11110	5	201807
33,500	2014	2018	숭인동	할리우드파크아파트	7	20	69.94	56-135	11110	4	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	13	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	15.76	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	15.76	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	15.76	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	15.76	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	13	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	14	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	15.76	1392	11110	15	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	15	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	11	201807
10,500	2013	2018	숭인동	주건축물제1동	7	21	14.48	1392	11110	15	201807
10,000	2013	2018	숭인동	주건축물제1동	7	21	15.42	1392	11110	15	201807
13,400	2013	2018	숭인동	종로중흥S클래스	7	23	17.811	202-3	11110	7	201807
33,500	2014	2018	숭인동	할리우드파크아파트	7	24	68.77	56-135	11110	4	201807
68,000	2009	2018	숭인동	종로청계힐스테이트	7	26	84.9478	766	11110	7	201807
13,500	2013	2018	숭인동	종로중흥S클래스	7	26	17.811	202-3	11110	11	201807
59,800	2008	2018	숭인동	종로센트레빌	7	28	59.92	2-1	11110	4	201807
59,800	2008	2018	숭인동	종로센트레빌	7	30	59.92	2-1	11110	4	201807
33,300	2014	2018	숭인동	할리우드파크아파트	7	30	74.8	56-135	11110	5	201807
13,000	2012	2018	숭인동	삼전솔하임2차	7	31	16.67	296-19	11110	7	201807
35,300	1998	2018	평창동	삼성	7	10	59.97	596	11110	4	201807
37,000	1998	2018	평창동	삼성	7	14	59.97	596	11110	9	201807
17,100	1997	2018	평창동	갑을	7	23	30.46	595	11110	7	201807
135,000	2009	2018	평창동	롯데캐슬 로잔	7	30	200.165	108	11110	3	201807
84,490	2000	2018	무악동	현대	7	7	114.9	82	11110	16	201807
108,000	2008	2018	무악동	인왕산아이파크	7	10	114.931	60	11110	9	201807
91,000	2000	2018	무악동	현대	7	12	114.9	82	11110	12	201807
84,500	2015	2018	무악동	인왕산2차아이파크	7	13	84.0284	88	11110	15	201807
72,790	2000	2018	무악동	현대	7	27	84.92	82	11110	1	201807
65,990	2000	2018	무악동	현대	7	27	60	82	11110	11	201807
84,500	2015	2018	무악동	인왕산2차아이파크	7	28	84.068	88	11110	13	201807
93,500	2008	2018	무악동	인왕산아이파크	7	28	114.931	60	11110	1	201807
