거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
119,000	2008	2018	사직동	광화문풍림스페이스본(106동)	6	1	150.4	9-1	11110	7	201806
145,500	2004	2018	내수동	경희궁의아침4단지	6	7	145.96	73	11110	15	201806
105,500	2003	2018	내수동	경희궁 파크팰리스	6	13	117.26	95	11110	7	201806
94,300	2008	2018	견지동	대성스카이렉스	6	5	149.8	110	11110	8	201806
29,500	2003	2018	익선동	현대뜨레비앙	6	25	46.64	55	11110	2	201806
75,000	2006	2018	인의동	효성쥬얼리시티	6	2	98.39	48-2	11110	14	201806
68,000	2006	2018	인의동	효성쥬얼리시티	6	4	98.39	48-2	11110	7	201806
57,000	2006	2018	인의동	효성쥬얼리시티	6	6	84.7	48-2	11110	9	201806
74,000	2006	2018	인의동	효성쥬얼리시티	6	7	106.81	48-2	11110	13	201806
60,000	2006	2018	인의동	효성쥬얼리시티	6	9	84.7	48-2	11110	14	201806
75,000	2006	2018	인의동	효성쥬얼리시티	6	11	106.81	48-2	11110	12	201806
57,000	2006	2018	인의동	효성쥬얼리시티	6	13	84.7	48-2	11110	14	201806
76,000	2006	2018	인의동	효성쥬얼리시티	6	13	98.39	48-2	11110	16	201806
63,000	2006	2018	인의동	효성쥬얼리시티	6	14	84.64	48-2	11110	11	201806
75,000	2006	2018	인의동	효성쥬얼리시티	6	18	98.39	48-2	11110	12	201806
62,000	2006	2018	인의동	효성쥬얼리시티	6	22	84.64	48-2	11110	18	201806
15,000	2017	2018	효제동	포레스트힐시티	6	22	14.6825	65-2	11110	7	201806
19,000	2017	2018	효제동	포레스트힐시티	6	25	15.879	65-2	11110	9	201806
18,900	2014	2018	연건동	이화에수풀	6	28	16.98	195-10	11110	9	201806
75,000	1995	2018	명륜2가	아남1	6	2	84.8	4	11110	11	201806
40,200	1993	2018	창신동	창신쌍용2	6	2	64.66	703	11110	11	201806
56,500	2003	2018	창신동	창신이수	6	4	84.5	23-816	11110	12	201806
18,800	1997	2018	창신동	흥인	6	5	58.23	627-21	11110	3	201806
67,500	2003	2018	창신동	창신이수	6	5	120.84	23-816	11110	7	201806
52,500	1993	2018	창신동	창신쌍용2	6	6	106.62	703	11110	12	201806
52,500	1992	2018	창신동	창신쌍용1	6	6	79.87	702	11110	6	201806
50,500	1999	2018	창신동	두산	6	12	59.95	232	11110	19	201806
50,000	1992	2018	창신동	창신쌍용1	6	16	79.87	702	11110	10	201806
40,500	1992	2018	창신동	창신쌍용1	6	18	54.7	702	11110	2	201806
52,000	2006	2018	창신동	브라운스톤창신	6	18	84.67	23-76	11110	3	201806
51,500	1999	2018	창신동	두산	6	20	59.95	232	11110	16	201806
47,500	1999	2018	창신동	두산	6	25	59.95	232	11110	1	201806
48,000	1993	2018	창신동	창신쌍용2	6	28	79.87	703	11110	14	201806
35,000	1993	2018	창신동	창신쌍용2	6	30	54.7	703	11110	4	201806
37,000	1979	2018	숭인동	숭인상가	6	2	77.75	204-11	11110	5	201806
12,300	2014	2018	숭인동	숭인한양LEEPS	6	11	12.78	1421-2	11110	7	201806
30,000	2014	2018	숭인동	할리우드파크아파트	6	13	68.77	56-135	11110	2	201806
69,500	2008	2018	숭인동	종로센트레빌	6	13	84.92	2-1	11110	5	201806
31,000	2014	2018	숭인동	할리우드파크아파트	6	13	69.94	56-135	11110	7	201806
12,500	2013	2018	숭인동	종로동광모닝스카이	6	14	15.855	1421-1	11110	15	201806
62,000	2009	2018	숭인동	종로청계힐스테이트	6	15	59.9426	766	11110	5	201806
69,000	2009	2018	숭인동	종로청계힐스테이트	6	15	84.9478	766	11110	6	201806
58,000	2008	2018	숭인동	종로센트레빌	6	19	59.92	2-1	11110	5	201806
56,500	2008	2018	숭인동	종로센트레빌	6	26	59.92	2-1	11110	1	201806
14,000	2014	2018	숭인동	삼전솔하임4차	6	27	15.09	318-2	11110	17	201806
33,000	2014	2018	숭인동	할리우드파크아파트	6	29	74.8	56-135	11110	6	201806
36,000	1998	2018	평창동	삼성	6	11	59.97	596	11110	5	201806
38,900	1996	2018	평창동	일성빌라트	6	14	59.82	145-5	11110	1	201806
46,500	1998	2018	평창동	삼성	6	14	84.98	596	11110	8	201806
89,000	2008	2018	무악동	인왕산아이파크	6	2	84.858	60	11110	4	201806
74,490	2000	2018	무악동	현대	6	11	84.92	82	11110	5	201806
85,990	2000	2018	무악동	현대	6	13	114.9	82	11110	18	201806
71,000	2008	2018	무악동	인왕산아이파크	6	14	59.993	60	11110	5	201806
85,000	2008	2018	무악동	인왕산아이파크	6	16	84.858	60	11110	1	201806
90,000	2008	2018	무악동	인왕산아이파크	6	27	84.858	60	11110	11	201806
