거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
17,900	1999	2018	누상동	청호그린빌	3	23	29.76	40	11110	2	201803
17,800	1999	2018	누상동	청호그린빌	3	26	29.76	40	11110	4	201803
79,000	2005	2018	옥인동	세종아파트	3	16	111.31	56	11110	5	201803
113,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	3	5	136.4	9	11110	1	201803
118,000	2008	2018	사직동	광화문풍림스페이스본(106동)	3	6	150.4	9-1	11110	4	201803
118,500	2008	2018	사직동	광화문풍림스페이스본(106동)	3	7	144.52	9-1	11110	4	201803
114,000	2008	2018	사직동	광화문풍림스페이스본(106동)	3	8	144.52	9-1	11110	9	201803
128,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	3	9	158.99	9	11110	5	201803
97,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	3	12	121.37	9	11110	8	201803
62,000	1983	2018	당주동	세종	3	3	91.46	100	11110	9	201803
51,800	1981	2018	당주동	롯데미도파광화문빌딩	3	20	93.36	145	11110	8	201803
113,000	2004	2018	내수동	경희궁의아침4단지	3	9	124.17	73	11110	16	201803
122,800	2004	2018	내수동	경희궁의아침4단지	3	13	124.17	73	11110	12	201803
92,000	2003	2018	내수동	경희궁 파크팰리스	3	22	103.77	95	11110	6	201803
120,700	2004	2018	내수동	경희궁의아침4단지	3	23	124.17	73	11110	5	201803
118,000	2004	2018	내수동	경희궁의아침4단지	3	27	150.77	73	11110	3	201803
117,000	2004	2018	내수동	경희궁의아침2단지	3	29	124.17	71	11110	10	201803
93,200	2003	2018	내수동	경희궁 파크팰리스	3	31	103.77	95	11110	4	201803
26,800	2003	2018	익선동	현대뜨레비앙	3	9	43.98	55	11110	6	201803
23,000	2003	2018	익선동	현대뜨레비앙	3	16	28.1	55	11110	9	201803
63,000	2006	2018	인의동	효성쥬얼리시티	3	7	92.81	48-2	11110	9	201803
50,700	2006	2018	인의동	효성쥬얼리시티	3	29	84.98	48-2	11110	15	201803
17,800	2014	2018	연건동	이화에수풀	3	8	16.98	195-10	11110	7	201803
18,300	2014	2018	연건동	이화에수풀	3	24	16.98	195-10	11110	10	201803
51,000	2006	2018	명륜1가	건양하늘터	3	2	82.63	23	11110	8	201803
72,000	1995	2018	명륜2가	아남1	3	8	84.9	4	11110	14	201803
45,900	1999	2018	명륜2가	아남3	3	9	47.43	237	11110	7	201803
55,000	1999	2018	명륜2가	아남3	3	12	59.36	237	11110	5	201803
75,000	1995	2018	명륜2가	아남1	3	16	84.9	4	11110	17	201803
75,000	1995	2018	명륜2가	아남1	3	20	84.9	4	11110	15	201803
44,000	1993	2018	창신동	창신쌍용2	3	2	79.87	703	11110	7	201803
49,500	1999	2018	창신동	두산	3	3	59.95	232	11110	2	201803
40,500	1993	2018	창신동	창신쌍용2	3	4	64.66	703	11110	13	201803
44,600	1993	2018	창신동	창신쌍용2	3	6	79.87	703	11110	9	201803
17,400	1997	2018	창신동	흥인	3	6	56.88	627-21	11110	5	201803
49,200	1999	2018	창신동	두산	3	7	59.95	232	11110	1	201803
40,000	1992	2018	창신동	창신쌍용1	3	8	54.7	702	11110	4	201803
36,800	1993	2018	창신동	창신쌍용2	3	10	54.7	703	11110	9	201803
46,200	1993	2018	창신동	창신쌍용2	3	16	79.87	703	11110	7	201803
53,800	1993	2018	창신동	창신쌍용2	3	17	106.62	703	11110	12	201803
50,000	1999	2018	창신동	두산	3	19	59.95	232	11110	23	201803
23,000	1994	2018	창신동	성용	3	20	59.28	640-252	11110	3	201803
52,850	1993	2018	창신동	창신쌍용2	3	23	115.53	703	11110	11	201803
33,650	1993	2018	창신동	창신쌍용2	3	24	54.7	703	11110	2	201803
36,000	1993	2018	창신동	창신쌍용2	3	24	64.66	703	11110	2	201803
51,900	1992	2018	창신동	창신쌍용1	3	26	79.87	702	11110	11	201803
59,800	2009	2018	숭인동	종로청계힐스테이트	3	6	59.9426	766	11110	12	201803
69,000	2008	2018	숭인동	종로센트레빌	3	9	84.92	2-1	11110	12	201803
14,000	2013	2018	숭인동	종로중흥S클래스	3	9	19.466	202-3	11110	14	201803
33,500	2014	2018	숭인동	할리우드파크아파트	3	10	68.77	56-135	11110	5	201803
11,500	2013	2018	숭인동	종로유케이201	3	12	12.09	201-11	11110	12	201803
62,500	2008	2018	숭인동	종로센트레빌	3	13	84.92	2-1	11110	3	201803
12,900	2014	2018	숭인동	숭인한양LEEPS	3	20	12.78	1421-2	11110	11	201803
13,000	2012	2018	숭인동	삼전솔하임2차	3	22	15	296-19	11110	10	201803
68,000	2009	2018	숭인동	종로청계힐스테이트	3	23	84.9478	766	11110	16	201803
32,000	2014	2018	숭인동	할리우드파크아파트	3	25	69.94	56-135	11110	1	201803
12,930	2012	2018	숭인동	삼전솔하임2차	3	27	14.69	296-19	11110	5	201803
13,800	2013	2018	숭인동	종로중흥S클래스	3	28	19.466	202-3	11110	11	201803
34,500	2014	2018	숭인동	할리우드파크아파트	3	29	68.77	56-135	11110	7	201803
74,700	2004	2018	숭인동	롯데캐슬천지인	3	29	111.73	76	11110	18	201803
13,700	2013	2018	숭인동	종로중흥S클래스	3	31	19.466	202-3	11110	13	201803
118,000	2017	2018	홍파동	경희궁자이(2단지)	3	30	59.895	199	11110	14	201803
59,000	1995	2018	교북동	동아	3	3	84.28	101	11110	5	201803
73,000	2001	2018	평창동	롯데낙천대	3	8	110.53	72	11110	12	201803
59,500	2001	2018	평창동	롯데낙천대	3	9	87.27	72	11110	14	201803
98,000	2002	2018	평창동	노블레스빌	3	10	220.92	155-1	11110	6	201803
17,000	1997	2018	평창동	갑을	3	13	30.46	595	11110	11	201803
35,000	1998	2018	평창동	삼성	3	19	59.97	596	11110	2	201803
71,200	2001	2018	평창동	롯데낙천대	3	20	110.53	72	11110	9	201803
17,500	1997	2018	평창동	갑을	3	20	30.46	595	11110	5	201803
57,000	2001	2018	평창동	롯데낙천대	3	24	84.21	72	11110	6	201803
80,000	2003	2018	평창동	크래스빌	3	26	187.9	46-1	11110	5	201803
44,000	1998	2018	평창동	삼성	3	28	84.93	596	11110	5	201803
81,700	2008	2018	무악동	인왕산아이파크	3	1	84.858	60	11110	15	201803
82,500	2015	2018	무악동	인왕산2차아이파크	3	9	84.0284	88	11110	9	201803
84,500	2008	2018	무악동	인왕산아이파크	3	15	84.858	60	11110	2	201803
66,990	2000	2018	무악동	현대	3	17	84.92	82	11110	5	201803
75,400	2008	2018	무악동	인왕산아이파크	3	30	84.858	60	11110	4	201803
