거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
94,000	2000	2018	청운동	청운현대	2	2	129.76	56-45	11110	1	201802
88,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	2	10	97.61	9	11110	4	201802
125,000	2008	2018	사직동	광화문풍림스페이스본(106동)	2	12	153.42	9-1	11110	10	201802
122,500	2008	2018	사직동	광화문풍림스페이스본(106동)	2	14	153.42	9-1	11110	6	201802
119,500	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	2	20	158.99	9	11110	11	201802
121,000	2008	2018	사직동	광화문풍림스페이스본(106동)	2	23	150.4	9-1	11110	7	201802
130,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	2	28	159.01	9	11110	10	201802
126,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	2	28	160.85	9	11110	9	201802
138,000	2003	2018	내수동	경희궁 파크팰리스	2	3	146.39	95	11110	16	201802
120,500	2004	2018	내수동	경희궁의아침4단지	2	13	150.77	73	11110	4	201802
102,000	2008	2018	견지동	대성스카이렉스	2	21	149.72	110	11110	13	201802
30,000	2003	2018	익선동	현대뜨레비앙	2	20	48.54	55	11110	7	201802
54,700	2006	2018	인의동	효성쥬얼리시티	2	4	84.64	48-2	11110	15	201802
54,000	2006	2018	인의동	효성쥬얼리시티	2	14	84.7	48-2	11110	10	201802
54,500	2006	2018	인의동	효성쥬얼리시티	2	19	84.98	48-2	11110	17	201802
76,000	2006	2018	인의동	효성쥬얼리시티	2	27	106.81	48-2	11110	16	201802
41,900	1999	2018	명륜2가	아남3	2	8	47.43	237	11110	3	201802
67,000	1995	2018	명륜2가	아남1	2	26	84.9	4	11110	3	201802
52,000	1993	2018	창신동	창신쌍용2	2	1	106.62	703	11110	5	201802
56,000	1993	2018	창신동	창신쌍용2	2	2	115.53	703	11110	14	201802
40,500	1992	2018	창신동	창신쌍용1	2	2	54.7	702	11110	5	201802
40,600	1992	2018	창신동	창신쌍용1	2	3	54.7	702	11110	5	201802
44,800	1993	2018	창신동	창신쌍용2	2	5	79.87	703	11110	6	201802
47,000	1992	2018	창신동	창신쌍용1	2	7	79.87	702	11110	13	201802
62,000	1999	2018	창신동	두산	2	7	84.9	232	11110	9	201802
37,800	1993	2018	창신동	창신쌍용2	2	10	64.66	703	11110	6	201802
33,750	1993	2018	창신동	창신쌍용2	2	10	54.7	703	11110	4	201802
23,350	2002	2018	창신동	MID그린(2동)	2	10	54.72	601-1	11110	3	201802
37,500	1993	2018	창신동	창신쌍용2	2	12	64.66	703	11110	5	201802
45,500	1992	2018	창신동	창신쌍용1	2	12	79.87	702	11110	7	201802
49,500	1999	2018	창신동	두산	2	13	59.95	232	11110	8	201802
47,000	1992	2018	창신동	창신쌍용1	2	14	79.87	702	11110	14	201802
50,000	1999	2018	창신동	두산	2	21	59.95	232	11110	18	201802
38,300	1993	2018	창신동	창신쌍용2	2	22	64.66	703	11110	12	201802
39,500	1993	2018	창신동	창신쌍용2	2	23	64.66	703	11110	11	201802
26,000	1966	2018	창신동	동대문	2	23	28.8	328-17	11110	2	201802
19,500	1997	2018	창신동	흥인	2	23	58.23	627-21	11110	1	201802
39,000	1992	2018	창신동	창신쌍용1	2	24	54.7	702	11110	3	201802
50,000	1999	2018	창신동	두산	2	25	59.95	232	11110	16	201802
57,500	1992	2018	창신동	창신쌍용1	2	27	106.62	702	11110	11	201802
52,000	2006	2018	창신동	브라운스톤창신	2	27	84.67	23-76	11110	15	201802
43,000	1993	2018	창신동	창신쌍용2	2	28	79.87	703	11110	15	201802
