거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
23,500	2003	2018	익선동	현대뜨레비앙	12	8	36.08	55	11110	7	201812
20,000	2014	2018	연건동	이화에수풀	12	18	16.98	195-10	11110	7	201812
45,500	2004	2018	혜화동	혜화훼미리	12	3	60.82	20-12	11110	7	201812
26,800	2002	2018	창신동	MID그린(4동)	12	20	59.55	601-5	11110	7	201812
78,700	2009	2018	숭인동	종로청계힐스테이트	12	21	84.9478	766	11110	9	201812
12,300	1997	2018	숭인동	도시그린빌라트19	12	21	44.4	181-121	11110	6	201812
65,000	2009	2018	숭인동	종로청계힐스테이트	12	26	59.9426	766	11110	2	201812
24,300	1997	2018	숭인동	도시그린빌라트19	12	29	57.45	181-121	11110	3	201812
93,000	2017	2018	교북동	경희궁자이(4단지)	12	10	45.879	126	11110	15	201812
135,500	2009	2018	평창동	롯데캐슬 로잔	12	15	190.743	108	11110	4	201812
90,000	2003	2018	평창동	크래스빌	12	15	187.9	46-1	11110	4	201812
41,500	2004	2018	평창동	에지앙빌	12	20	110.61	179-5	11110	2	201812
133,000	2009	2018	평창동	롯데캐슬 로잔	12	28	190.743	108	11110	1	201812
