거래금액	건축년도	년	법정동	아파트	월	일	전용면적	지번	지역코드	층	date
83,000	2000	2018	청운동	청운현대	4	3	84.51	56-45	11110	5	201804
113,000	2008	2018	사직동	광화문풍림스페이스본(101동~105동)	4	7	108.55	9	11110	4	201804
120,000	2008	2018	사직동	광화문풍림스페이스본(106동)	4	18	153.42	9-1	11110	3	201804
125,000	2004	2018	내수동	경희궁의아침2단지	4	12	140.78	71	11110	8	201804
135,000	2004	2018	내수동	킹스매너	4	18	218.86	110-15	11110	2	201804
130,000	2003	2018	내수동	경희궁 파크팰리스	4	27	146.39	95	11110	16	201804
29,995	2003	2018	익선동	현대뜨레비앙	4	19	48.54	55	11110	3	201804
62,000	2006	2018	인의동	효성쥬얼리시티	4	14	92.81	48-2	11110	12	201804
59,000	2006	2018	인의동	효성쥬얼리시티	4	24	92.81	48-2	11110	10	201804
68,000	2004	2018	혜화동	혜화훼미리	4	3	111.86	20-12	11110	2	201804
25,500	2003	2018	명륜1가	송림아마레스아파트	4	23	34.7	2-12	11110	6	201804
74,000	1995	2018	명륜2가	아남1	4	17	84.9	4	11110	7	201804
39,000	1999	2018	명륜3가	한빛	4	5	59.84	1-30	11110	5	201804
50,000	1999	2018	창신동	두산	4	2	59.95	232	11110	8	201804
39,500	1993	2018	창신동	창신쌍용2	4	14	64.66	703	11110	5	201804
54,500	1992	2018	창신동	창신쌍용1	4	21	79.87	702	11110	12	201804
23,800	2002	2018	창신동	MID그린(7동)	4	22	59.04	601-8	11110	5	201804
40,700	1992	2018	창신동	창신쌍용1	4	28	54.7	702	11110	5	201804
35,000	1979	2018	숭인동	숭인상가	4	2	78.75	204-11	11110	5	201804
13,500	2013	2018	숭인동	종로중흥S클래스	4	2	19.466	202-3	11110	7	201804
13,700	2013	2018	숭인동	종로중흥S클래스	4	2	17.811	202-3	11110	11	201804
28,700	1997	2018	숭인동	동문 (비동,씨동) (494-0)	4	7	59.94	494	11110	7	201804
34,000	1979	2018	숭인동	숭인상가	4	9	80.85	204-11	11110	8	201804
13,000	2013	2018	숭인동	종로동광모닝스카이	4	13	15.855	1421-1	11110	9	201804
13,300	2013	2018	숭인동	종로중흥S클래스	4	20	17.811	202-3	11110	5	201804
13,400	2012	2018	숭인동	삼전솔하임2차	4	25	16.67	296-19	11110	5	201804
12,800	2012	2018	숭인동	삼전솔하임2차	4	29	14.69	296-19	11110	8	201804
55,000	1995	2018	교북동	동아	4	10	84.28	101	11110	11	201804
170,000	2009	2018	평창동	롯데캐슬 로잔	4	3	239.484	108	11110	11	201804
82,000	2004	2018	평창동	벽산블루밍평창힐스	4	5	150.83	45	11110	3	201804
73,000	2008	2018	평창동	르트랑시망	4	20	138.53	102	11110	3	201804
16,000	1997	2018	평창동	갑을	4	30	53.33	595	11110	13	201804
70,000	2008	2018	평창동	르트랑시망	4	30	140.97	102	11110	1	201804
48,000	1998	2018	신영동	대아파크빌	4	11	84.84	254	11110	9	201804
29,000	2002	2018	신영동	구암하이빌	4	20	75.89	105-22	11110	2	201804
67,970	2000	2018	무악동	현대	4	3	84.92	82	11110	3	201804
89,500	2008	2018	무악동	인왕산아이파크	4	3	84.858	60	11110	15	201804
82,930	2000	2018	무악동	현대	4	4	114.9	82	11110	3	201804
82,500	2015	2018	무악동	인왕산2차아이파크	4	7	84.0284	88	11110	10	201804
82,290	2000	2018	무악동	현대	4	10	114.9	82	11110	14	201804
78,900	2008	2018	무악동	인왕산아이파크	4	21	84.858	60	11110	4	201804
105,000	2008	2018	무악동	인왕산아이파크	4	24	114.931	60	11110	7	201804
69,790	2000	2018	무악동	현대	4	25	84.92	82	11110	4	201804
